pathway	description	UniqueID622	UniqueID628	UniqueID632	UniqueID634	UniqueID638	UniqueID640	UniqueID642	UniqueID644	UniqueID648	UniqueID650	UniqueID652	UniqueID653	UniqueID654	UniqueID655	UniqueID660	UniqueID663	UniqueID666	UniqueID667	UniqueID671	UniqueID672	UniqueID676	UniqueID686	UniqueID688	UniqueID690	UniqueID692	UniqueID696	UniqueID697	UniqueID698	UniqueID699	UniqueID700	UniqueID701	UniqueID703	UniqueID705	UniqueID706	UniqueID712	UniqueID748	UniqueID762	UniqueID767	UniqueID779	UniqueID784	UniqueID801	UniqueID802	UniqueID803	UniqueID804	UniqueID807	UniqueID811	UniqueID814	UniqueID815	UniqueID816	UniqueID817	UniqueID823	UniqueID824	UniqueID825	UniqueID830	UniqueID1000	UniqueID1001	UniqueID583
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	135080.95634300448	126391.74835319907	132280.6558833061	106186.53245242244	167149.09222997152	126756.52427314736	181544.5659761948	121637.21998983226	113972.3172863024	126799.4142074707	113406.57925588245	135284.02919027882	120952.37228823928	105034.58333040396	137991.720764134	158221.72318101197	147062.19074290042	141673.37810999458	127190.2691272956	117543.5528961522	137011.82011311516	109454.32251804286	176161.32509565793	197765.91051317335	143823.08818206642	152861.24814977215	123819.59043600233	159618.5581529483	148725.15591343335	136595.39483200852	151278.7923464504	143117.97190364538	123627.82398602518	123376.71871777426	140773.33817868572	132813.2529349676	117144.71613607118	125782.57736149346	86780.83626416828	127230.3783180158	125772.5604066233	119453.63477058412	132633.3431900271	126123.4428052298	128900.30846461417	126734.80642555952	141398.58105426436	106332.42918129577	133800.79571856098	118111.08724395244	115939.29935450928	114379.93931603896	135234.53628837888	130206.96057932668	132379.4533621432	148154.80819933565	150340.42982643272
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	0.6932580604443984	446.0301400590382	0.0	0.0	23.569240948012716	194.9283731995326	236.48392107741503	0.0	83.26784486597178	14.902085724197002	0.0	9.092081518591346	1.327135037509445	45.53495304077827	0.0	0.0	0.0	0.0	6.969279024936354	3.1776497407070994	10.36482641254213	6.022846185400415	11.976015138148592	5.693031430417504	2015.8053302904627	20.13901561417632	23.794282814998542	0.6549108627101053	817.6620132165705	0.0	481.3950340974693	0.0	79.9168202685064	34.740906988952425	0.0	136.71984170855444	0.0	0.0	0.0	127.1423529507353	0.0	263.6827322002368	0.4613715656004091	0.0	9.32605683260345	37.71787500859231	284.2956639112627	0.0	122.9117624018551	80.94792771442368	0.0	250.8793108061011	436.3752127937376	14.275654658929795	78.0029648999192	185.87973036580956	0.0
AEROBACTINSYN-PWY	aerobactin biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.957404784842208	0.0	0.0	0.0	0.0	0.0	39.33774834437086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.433962264150943	4.85810553974584	0.0	0.0	0.0	0.0
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	15.55059496699718	24293.611260660942	2640.5042028073567	1959.7550142043424	13040.064085221944	7512.109411671311	18278.05370732075	3408.9992828991267	4367.735656407209	1297.91270382584	1741.1346934092026	9872.596068718532	2080.009154230743	2323.1350700713274	115.11435604923952	226.28217911187173	1422.766169900976	816.5888569439215	3441.3658231887466	5154.314243782182	9658.686436366615	10994.737617452696	1756.6734976391765	368.9133656511583	26769.277197173244	2574.2193283851	2806.8203950730576	2460.255348132289	14118.67700903574	1172.3952200101785	672.9198658723017	0.0	1682.0275849449604	3544.345150110131	5715.781163521514	8788.98946839584	3908.298483562684	0.0	0.0	3367.99603834803	3098.421984584055	4450.318432943675	1967.637996099832	4082.3430541169146	4246.51308826018	2665.8340457160893	7981.449681915562	457.5961480274169	5643.377299060208	5838.2861166989605	1317.266799808892	131.8548325943096	22508.64607697732	4232.4061269468375	3286.7625837780893	6855.874294683666	0.0
ANAEROFRUCAT-PWY	homolactic fermentation	63420.64916752745	113326.72454664369	148254.54245281985	75249.55189535195	123371.60635625622	51047.28839393143	75462.93889769985	69723.98008254627	80219.60406967744	129650.54456063102	103710.44611072066	107077.7143897869	123032.4915031914	104945.37939929284	76818.01162938359	101845.95073075668	90461.44533700048	75137.18457366094	77922.47395587442	75145.82624106923	103942.296711761	66046.19244090578	91689.57477573314	147028.2576085909	108805.1135664664	76413.30485282147	35626.00097486686	95298.30404247151	61566.622835240814	37025.72836727672	108944.5961461371	90328.64929963124	66952.4084935229	74595.91489545663	132754.90517769993	116255.0354236509	141876.27438508088	60438.804480068655	53887.88813757096	83697.88443289025	119362.2584029122	110434.73419652984	116225.67521371864	79479.45747050457	74110.7311787044	96981.62192268384	150574.66378820155	84113.22804769951	58073.35719340856	63686.227634695584	89897.31364022217	75325.04378495952	115180.61209896172	146756.38985285262	60761.7393122866	139358.46150983917	143609.2745180192
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	176132.42449292834	168662.80120464636	175092.418686866	141295.5718297251	215740.25354250745	162963.58847028352	214850.40396729665	157978.3675522195	147759.50547940665	177497.3372669992	155687.45466782604	182278.82021932924	160915.03485321696	145683.3223134701	179737.1765474199	191879.9484047588	187036.0159426024	172759.8843856668	167321.09905600842	146950.84774499532	181804.13389913397	148314.62131181333	203585.72252944804	229751.77912838757	178092.2812981104	191467.45284125293	153610.9491674577	208308.8204686219	185781.2134073619	181516.26986693937	191188.16069280825	184127.65577048765	167167.4711335139	156743.52364534052	188772.3426082232	173489.60098175137	158494.6786449995	167732.73111603357	120562.37430826126	166782.883602597	163059.94259831868	167088.66635460756	179932.1139160522	169471.87470425558	169254.4997398851	177744.9553455582	195307.4304511273	152618.90941576776	176392.30423942077	154012.24313807822	171071.15932099312	154638.45472825487	180697.38753094137	163489.31366756256	165939.99055530995	207759.38387972556	204872.2694651576
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	68314.14976602192	57583.80688068459	36293.50882732542	45526.7225268524	80857.62626537977	66477.27119884116	78611.17608143642	61364.65619075645	51510.31097798608	47684.589054518	34405.72264347902	57781.5353599453	21681.965129090204	8175.942043464447	70350.12148233448	76693.9508586146	68402.92955135221	57068.52832743403	46170.57645846718	50121.08315074542	64569.91876877571	49890.117284750326	74472.70096575205	70115.50404839267	61889.96512545595	74482.29506610862	50762.51257656233	77872.65461635283	67125.0225082766	53649.62029288485	69716.00345390447	61903.3949447082	15387.884898169828	53748.74649334033	61429.39341884699	63476.29538453887	33664.001174247285	56665.97493284352	5955.833877116183	42167.02596531942	49018.47578156591	42047.98805960846	51773.1858933543	49910.0628704019	58873.387207059735	40260.97222314325	49276.74149935556	33932.131324784954	49612.09041066007	44145.23555281192	17303.31772004681	37352.05132498912	57679.21293508529	39256.79238137204	60133.255664902936	58425.21942617928	65902.18848691681
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	1.0388677952596892	9338.55895907027	476.0247448326024	130.51530227190756	2231.335855559614	1027.9420416082987	3403.977086125268	291.934463249522	397.70318480552686	7.014505152888946	117.49368358674629	1512.5876235002445	120.22023115082165	478.2762959171576	3.498895604324173	6.996374379084395	0.0	0.0	192.7846264440983	473.40145356629085	1422.7025266071355	2604.4304464446504	67.75243459279758	4.664649572804332	2450.376042139877	96.48662583671558	260.0363569490209	76.08946192679299	3155.196862770406	81.6000362283656	3.244271258645964	0.0	151.27522079663896	346.9274176507386	761.266639031088	745.0993515822477	242.5741170709058	0.0	0.0	597.907973715864	395.334961274316	984.1874423884088	100.16230726213448	423.5057167125158	340.81864535307534	212.6293138434748	692.3076056715416	0.0	1207.4356039813442	1549.819376870419	91.42755245298696	0.0	9890.889662504063	545.2606318111467	140.4668456960081	389.4578149304296	0.0
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	8504.56171606313	20709.42403565887	8820.550122802686	8525.982775491286	12672.985165704746	10015.288019276475	12186.837664002049	6605.86399009032	8453.427823595794	8249.909473966482	12055.56542468855	13995.76311882504	11915.756938841192	9545.077077006232	13390.112781306618	13074.051847472558	11238.63502152013	6042.419482393123	13289.0681678689	6991.473532388432	13077.92722786266	6934.113655425653	10876.121500294808	10138.044692049998	27901.12419952038	8007.249783062086	8056.783619852229	14061.999872759689	8127.69442262187	6848.925885210597	14508.68362031253	13359.891889618775	7096.962050565111	7608.685791382703	9066.595024595756	11493.44739860028	13702.283052673753	13710.290795788713	11256.136401310783	11892.307385893888	11593.371917575732	7583.319786214394	14321.700904303818	8389.6751335166	9109.10341621826	21077.21499746562	17504.681584974685	11143.598426228042	7661.862613423643	5609.395244941786	18344.56394230236	15812.606789329408	13715.62011015704	9595.82639105592	11309.651912921758	16431.703449172055	11750.692094619922
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	120549.04459122603	127956.85502123204	113918.4313932636	91837.55080640008	178459.36673246394	125358.1706851331	182829.89192648823	120024.65995902914	91484.71965162142	118868.51082403006	111986.89525526574	123604.82028873327	119340.6652915459	108545.87483824448	132907.96893072975	141776.88297767504	141137.75933320023	135812.42155116503	103969.84434676378	88327.13959813949	128990.5256035721	88429.4151915739	180183.0487660232	211291.0731759193	118652.03433367508	151516.67813137622	129388.37492279036	152410.3730960078	143061.5227115726	118817.70948970494	133521.3574306381	122912.58379187036	95483.82177538438	111069.3228397438	136154.69987689145	118098.41140786507	107304.79572444422	121317.97567147527	94388.32046073978	114923.54601079004	100125.32739222734	134276.513667854	129837.0188687308	124619.1576560762	127463.12105865937	136739.11200644897	134058.99495640915	116932.98338663392	98628.4490604576	83929.17549925476	123294.97899463428	113779.09651996323	114855.03930308847	117329.9886063688	130305.63443880192	150684.68342826236	154331.15288005213
